People,Families,Locations,Events,TextChunk
Isaac Bui,Legal,"Melbourne, Australia",Participated in Regional Hackathon 2024,"Isaac Bui is part of the Legal team, based in Melbourne, Australia, and recently participated in regional hackathon 2024."
Julia Luong,Sales,"London, UK",Finished Data Analytics with Python Course,"Julia Luong is part of the Sales team, based in London, UK, and recently finished data analytics with python course."
Hannah Huynh,Product,"Ho Chi Minh City, Vietnam",Attended AI for Business Leaders Webinar,"Hannah Huynh is part of the Product team, based in Ho Chi Minh City, Vietnam, and recently attended ai for business leaders webinar."
Fiona Hoang,Data Science,"Paris, France",Attended UX/UI Design Masterclass,"Fiona Hoang is part of the Data Science team, based in Paris, France, and recently attended ux/ui design masterclass."
Kevin Tran,Engineering,"Melbourne, Australia",Finished Data Analytics with Python Course,"Kevin Tran is part of the Engineering team, based in Melbourne, Australia, and recently finished data analytics with python course."
Olivia Truong,Customer Success,"Seoul, South Korea",Joined Team Building Offsite in Da Nang,"Olivia Truong is part of the Customer Success team, based in Seoul, South Korea, and recently joined team building offsite in da nang."
Samuel Phan,Marketing,"Jakarta, Indonesia",Finished Data Analytics with Python Course,"Samuel Phan is part of the Marketing team, based in Jakarta, Indonesia, and recently finished data analytics with python course."
Alice Truong,Marketing,"Berlin, Germany",Presented at Internal Innovation Day,"Alice Truong is part of the Marketing team, based in Berlin, Germany, and recently presented at internal innovation day."
Fiona Huynh,Engineering,"Bangkok, Thailand",Participated in Corporate Social Responsibility Event,"Fiona Huynh is part of the Engineering team, based in Bangkok, Thailand, and recently participated in corporate social responsibility event."
Samuel Huynh,Operations,"Beijing, China",Completed AWS Cloud Practitioner Certification,"Samuel Huynh is part of the Operations team, based in Beijing, China, and recently completed aws cloud practitioner certification."
Edward Ton,Operations,"Hanoi, Vietnam",Engaged in Blockchain for Finance Webinar,"Edward Ton is part of the Operations team, based in Hanoi, Vietnam, and recently engaged in blockchain for finance webinar."
Tina Truong,Product,"Melbourne, Australia",Completed Leadership Training Bootcamp,"Tina Truong is part of the Product team, based in Melbourne, Australia, and recently completed leadership training bootcamp."
Victor Vu,Customer Success,"Shanghai, China",Joined International Business Roundtable,"Victor Vu is part of the Customer Success team, based in Shanghai, China, and recently joined international business roundtable."
George Chau,Sales,"Manila, Philippines",Attended Agile Project Management Workshop,"George Chau is part of the Sales team, based in Manila, Philippines, and recently attended agile project management workshop."
Nathan Vu,Customer Success,"Tokyo, Japan",Joined Global Marketing Summit,"Nathan Vu is part of the Customer Success team, based in Tokyo, Japan, and recently joined global marketing summit."
Victor Ly,Management,Singapore,Participated in Regional Hackathon 2024,"Victor Ly is part of the Management team, based in Singapore, and recently participated in regional hackathon 2024."
Diana Do,Human Resources,"Berlin, Germany",Attended Remote Work Productivity Webinar,"Diana Do is part of the Human Resources team, based in Berlin, Germany, and recently attended remote work productivity webinar."
Olivia Bui,Finance,"Seoul, South Korea",Completed Leadership Training Bootcamp,"Olivia Bui is part of the Finance team, based in Seoul, South Korea, and recently completed leadership training bootcamp."
Edward Ngo,Management,"Jakarta, Indonesia",Joined Cross-Cultural Communication Workshop,"Edward Ngo is part of the Management team, based in Jakarta, Indonesia, and recently joined cross-cultural communication workshop."
Olivia Do,Sales,"Kuala Lumpur, Malaysia",Attended AI for Business Leaders Webinar,"Olivia Do is part of the Sales team, based in Kuala Lumpur, Malaysia, and recently attended ai for business leaders webinar."
Bob Do,Management,"New Delhi, India",Completed AWS Cloud Practitioner Certification,"Bob Do is part of the Management team, based in New Delhi, India, and recently completed aws cloud practitioner certification."
Fiona Chau,Product,"Sydney, Australia",Attended Remote Work Productivity Webinar,"Fiona Chau is part of the Product team, based in Sydney, Australia, and recently attended remote work productivity webinar."
Hannah Le,Operations,Singapore,Participated in Corporate Social Responsibility Event,"Hannah Le is part of the Operations team, based in Singapore, and recently participated in corporate social responsibility event."
Hannah Pham,Customer Success,"Melbourne, Australia",Joined Global Marketing Summit,"Hannah Pham is part of the Customer Success team, based in Melbourne, Australia, and recently joined global marketing summit."
Kevin Truong,Operations,"Bangkok, Thailand",Completed Advanced Cybersecurity Training,"Kevin Truong is part of the Operations team, based in Bangkok, Thailand, and recently completed advanced cybersecurity training."
Quinn Ton,Management,"Bangalore, India",Finished Data Analytics with Python Course,"Quinn Ton is part of the Management team, based in Bangalore, India, and recently finished data analytics with python course."
Nathan Trinh,Data Science,"Bangalore, India",Completed AWS Cloud Practitioner Certification,"Nathan Trinh is part of the Data Science team, based in Bangalore, India, and recently completed aws cloud practitioner certification."
Tina Ton,Marketing,"Bangkok, Thailand",Presented at Machine Learning Meetup,"Tina Ton is part of the Marketing team, based in Bangkok, Thailand, and recently presented at machine learning meetup."
Alice Vu,Product,"Melbourne, Australia",Joined Team Building Offsite in Da Nang,"Alice Vu is part of the Product team, based in Melbourne, Australia, and recently joined team building offsite in da nang."
Hannah Nguyen,Product,"Bangkok, Thailand",Completed Leadership Training Bootcamp,"Hannah Nguyen is part of the Product team, based in Bangkok, Thailand, and recently completed leadership training bootcamp."
Olivia Ta,Legal,"London, UK",Attended Agile Project Management Workshop,"Olivia Ta is part of the Legal team, based in London, UK, and recently attended agile project management workshop."
Alice Vu,Product,"Da Nang, Vietnam",Completed Leadership Training Bootcamp,"Alice Vu is part of the Product team, based in Da Nang, Vietnam, and recently completed leadership training bootcamp."
Charlie Ton,Data Science,"London, UK",Volunteered at Community Tech Fair,"Charlie Ton is part of the Data Science team, based in London, UK, and recently volunteered at community tech fair."
Nathan Ngo,Data Science,"Mumbai, India",Volunteered at Community Tech Fair,"Nathan Ngo is part of the Data Science team, based in Mumbai, India, and recently volunteered at community tech fair."
Laura Luong,Legal,"Bangkok, Thailand",Participated in Regional Hackathon 2024,"Laura Luong is part of the Legal team, based in Bangkok, Thailand, and recently participated in regional hackathon 2024."
Alice Truong,Finance,"Jakarta, Indonesia",Joined Global Marketing Summit,"Alice Truong is part of the Finance team, based in Jakarta, Indonesia, and recently joined global marketing summit."
Kevin Huynh,Human Resources,"Paris, France",Presented at Machine Learning Meetup,"Kevin Huynh is part of the Human Resources team, based in Paris, France, and recently presented at machine learning meetup."
Samuel Pham,Operations,"Berlin, Germany",Presented at Machine Learning Meetup,"Samuel Pham is part of the Operations team, based in Berlin, Germany, and recently presented at machine learning meetup."
Tina Chau,Sales,"London, UK",Attended AI for Business Leaders Webinar,"Tina Chau is part of the Sales team, based in London, UK, and recently attended ai for business leaders webinar."
Samuel Pham,Engineering,"Seoul, South Korea",Completed AWS Cloud Practitioner Certification,"Samuel Pham is part of the Engineering team, based in Seoul, South Korea, and recently completed aws cloud practitioner certification."
George Le,Management,"Berlin, Germany",Participated in Corporate Social Responsibility Event,"George Le is part of the Management team, based in Berlin, Germany, and recently participated in corporate social responsibility event."
Alice Vu,Customer Success,"Berlin, Germany",Volunteered at Community Tech Fair,"Alice Vu is part of the Customer Success team, based in Berlin, Germany, and recently volunteered at community tech fair."
Alice Le,Finance,"Melbourne, Australia",Presented at Machine Learning Meetup,"Alice Le is part of the Finance team, based in Melbourne, Australia, and recently presented at machine learning meetup."
Charlie Truong,Data Science,"Shanghai, China",Participated in Corporate Social Responsibility Event,"Charlie Truong is part of the Data Science team, based in Shanghai, China, and recently participated in corporate social responsibility event."
Charlie Mai,Operations,"London, UK",Completed Emotional Intelligence Training,"Charlie Mai is part of the Operations team, based in London, UK, and recently completed emotional intelligence training."
Quinn Luong,Management,Singapore,Presented at Machine Learning Meetup,"Quinn Luong is part of the Management team, based in Singapore, and recently presented at machine learning meetup."
Kevin Ton,Marketing,"Hanoi, Vietnam",Joined International Business Roundtable,"Kevin Ton is part of the Marketing team, based in Hanoi, Vietnam, and recently joined international business roundtable."
Tina Mai,Data Science,"Seoul, South Korea",Completed Advanced Cybersecurity Training,"Tina Mai is part of the Data Science team, based in Seoul, South Korea, and recently completed advanced cybersecurity training."
Alice Dang,Operations,"Tokyo, Japan",Completed AWS Cloud Practitioner Certification,"Alice Dang is part of the Operations team, based in Tokyo, Japan, and recently completed aws cloud practitioner certification."
Laura Ngo,Data Science,"Manila, Philippines",Completed AWS Cloud Practitioner Certification,"Laura Ngo is part of the Data Science team, based in Manila, Philippines, and recently completed aws cloud practitioner certification."
Hannah Hoang,Finance,"Hanoi, Vietnam",Spoke at the Annual Finance Forum,"Hannah Hoang is part of the Finance team, based in Hanoi, Vietnam, and recently spoke at the annual finance forum."
Laura Ton,Marketing,"London, UK",Volunteered at Community Tech Fair,"Laura Ton is part of the Marketing team, based in London, UK, and recently volunteered at community tech fair."
Diana Chau,Product,"New Delhi, India",Joined Global Marketing Summit,"Diana Chau is part of the Product team, based in New Delhi, India, and recently joined global marketing summit."
Hannah Le,Operations,"Ho Chi Minh City, Vietnam",Attended UX/UI Design Masterclass,"Hannah Le is part of the Operations team, based in Ho Chi Minh City, Vietnam, and recently attended ux/ui design masterclass."
Tina Bui,Product,"Melbourne, Australia",Attended Agile Project Management Workshop,"Tina Bui is part of the Product team, based in Melbourne, Australia, and recently attended agile project management workshop."
Victor Mai,Human Resources,Singapore,Completed Emotional Intelligence Training,"Victor Mai is part of the Human Resources team, based in Singapore, and recently completed emotional intelligence training."
Nathan Huynh,Customer Success,"Melbourne, Australia",Joined Cross-Cultural Communication Workshop,"Nathan Huynh is part of the Customer Success team, based in Melbourne, Australia, and recently joined cross-cultural communication workshop."
Fiona Trinh,Customer Success,"Jakarta, Indonesia",Participated in Regional Hackathon 2024,"Fiona Trinh is part of the Customer Success team, based in Jakarta, Indonesia, and recently participated in regional hackathon 2024."
Samuel Le,Finance,"Manila, Philippines",Finished Data Analytics with Python Course,"Samuel Le is part of the Finance team, based in Manila, Philippines, and recently finished data analytics with python course."
Samuel Ton,Legal,"Paris, France",Completed Advanced Cybersecurity Training,"Samuel Ton is part of the Legal team, based in Paris, France, and recently completed advanced cybersecurity training."
Julia Ly,Finance,"Paris, France",Attended UX/UI Design Masterclass,"Julia Ly is part of the Finance team, based in Paris, France, and recently attended ux/ui design masterclass."
Charlie Ton,Customer Success,"London, UK",Presented at Machine Learning Meetup,"Charlie Ton is part of the Customer Success team, based in London, UK, and recently presented at machine learning meetup."
Isaac Ton,Finance,"Berlin, Germany",Joined International Business Roundtable,"Isaac Ton is part of the Finance team, based in Berlin, Germany, and recently joined international business roundtable."
Rachel Tran,Legal,"Berlin, Germany",Participated in Regional Hackathon 2024,"Rachel Tran is part of the Legal team, based in Berlin, Germany, and recently participated in regional hackathon 2024."
Hannah Phan,Sales,"Berlin, Germany",Joined International Business Roundtable,"Hannah Phan is part of the Sales team, based in Berlin, Germany, and recently joined international business roundtable."
Tina Do,Legal,"Hanoi, Vietnam",Finished Data Analytics with Python Course,"Tina Do is part of the Legal team, based in Hanoi, Vietnam, and recently finished data analytics with python course."
Samuel Hoang,Operations,"Paris, France",Finished Data Analytics with Python Course,"Samuel Hoang is part of the Operations team, based in Paris, France, and recently finished data analytics with python course."
Quinn Ta,Engineering,"Sydney, Australia",Attended Remote Work Productivity Webinar,"Quinn Ta is part of the Engineering team, based in Sydney, Australia, and recently attended remote work productivity webinar."
Kevin Pham,Customer Success,"Tokyo, Japan",Spoke at the Annual Finance Forum,"Kevin Pham is part of the Customer Success team, based in Tokyo, Japan, and recently spoke at the annual finance forum."
Olivia Trinh,Legal,"Beijing, China",Joined Team Building Offsite in Da Nang,"Olivia Trinh is part of the Legal team, based in Beijing, China, and recently joined team building offsite in da nang."
Olivia Phan,Operations,"London, UK",Joined International Business Roundtable,"Olivia Phan is part of the Operations team, based in London, UK, and recently joined international business roundtable."
Rachel Le,Marketing,"Mumbai, India",Participated in Corporate Social Responsibility Event,"Rachel Le is part of the Marketing team, based in Mumbai, India, and recently participated in corporate social responsibility event."
Alice Tran,Product,"Bangkok, Thailand",Joined Cross-Cultural Communication Workshop,"Alice Tran is part of the Product team, based in Bangkok, Thailand, and recently joined cross-cultural communication workshop."
Samuel Tran,Legal,"Bangalore, India",Engaged in Blockchain for Finance Webinar,"Samuel Tran is part of the Legal team, based in Bangalore, India, and recently engaged in blockchain for finance webinar."
Isaac Truong,Data Science,"Beijing, China",Completed Advanced Cybersecurity Training,"Isaac Truong is part of the Data Science team, based in Beijing, China, and recently completed advanced cybersecurity training."
Julia Trinh,Customer Success,"Melbourne, Australia",Participated in Corporate Social Responsibility Event,"Julia Trinh is part of the Customer Success team, based in Melbourne, Australia, and recently participated in corporate social responsibility event."
Laura Ton,Marketing,"Kuala Lumpur, Malaysia",Joined Global Marketing Summit,"Laura Ton is part of the Marketing team, based in Kuala Lumpur, Malaysia, and recently joined global marketing summit."
Kevin Nguyen,Operations,"Tokyo, Japan",Joined Team Building Offsite in Da Nang,"Kevin Nguyen is part of the Operations team, based in Tokyo, Japan, and recently joined team building offsite in da nang."
Laura Ly,Management,"Seoul, South Korea",Completed Leadership Training Bootcamp,"Laura Ly is part of the Management team, based in Seoul, South Korea, and recently completed leadership training bootcamp."
Isaac Phan,Operations,"Ho Chi Minh City, Vietnam",Presented at Internal Innovation Day,"Isaac Phan is part of the Operations team, based in Ho Chi Minh City, Vietnam, and recently presented at internal innovation day."
Edward Nguyen,Legal,"Bangkok, Thailand",Engaged in Blockchain for Finance Webinar,"Edward Nguyen is part of the Legal team, based in Bangkok, Thailand, and recently engaged in blockchain for finance webinar."
Paul Chau,Human Resources,"Da Nang, Vietnam",Participated in Regional Hackathon 2024,"Paul Chau is part of the Human Resources team, based in Da Nang, Vietnam, and recently participated in regional hackathon 2024."
George Trinh,Data Science,Singapore,Joined Global Marketing Summit,"George Trinh is part of the Data Science team, based in Singapore, and recently joined global marketing summit."
Fiona Chau,Engineering,"Hanoi, Vietnam",Presented at Internal Innovation Day,"Fiona Chau is part of the Engineering team, based in Hanoi, Vietnam, and recently presented at internal innovation day."
Charlie Pham,Marketing,"New Delhi, India",Completed Leadership Training Bootcamp,"Charlie Pham is part of the Marketing team, based in New Delhi, India, and recently completed leadership training bootcamp."
George Luong,Sales,"New Delhi, India",Participated in Regional Hackathon 2024,"George Luong is part of the Sales team, based in New Delhi, India, and recently participated in regional hackathon 2024."
George Ly,Human Resources,"Beijing, China",Completed Emotional Intelligence Training,"George Ly is part of the Human Resources team, based in Beijing, China, and recently completed emotional intelligence training."
Julia Ly,Operations,"London, UK",Completed Advanced Cybersecurity Training,"Julia Ly is part of the Operations team, based in London, UK, and recently completed advanced cybersecurity training."
Tina Pham,Finance,"Mumbai, India",Participated in Regional Hackathon 2024,"Tina Pham is part of the Finance team, based in Mumbai, India, and recently participated in regional hackathon 2024."
Charlie Do,Marketing,"Hanoi, Vietnam",Completed AWS Cloud Practitioner Certification,"Charlie Do is part of the Marketing team, based in Hanoi, Vietnam, and recently completed aws cloud practitioner certification."
Edward Do,Customer Success,"Ho Chi Minh City, Vietnam",Completed Advanced Cybersecurity Training,"Edward Do is part of the Customer Success team, based in Ho Chi Minh City, Vietnam, and recently completed advanced cybersecurity training."
Laura Do,Human Resources,"Bangkok, Thailand",Spoke at the Annual Finance Forum,"Laura Do is part of the Human Resources team, based in Bangkok, Thailand, and recently spoke at the annual finance forum."
Alice Do,Marketing,"Berlin, Germany",Attended UX/UI Design Masterclass,"Alice Do is part of the Marketing team, based in Berlin, Germany, and recently attended ux/ui design masterclass."
Isaac Ngo,Human Resources,"Tokyo, Japan",Spoke at the Annual Finance Forum,"Isaac Ngo is part of the Human Resources team, based in Tokyo, Japan, and recently spoke at the annual finance forum."
Julia Ta,Marketing,"Bangalore, India",Joined Team Building Offsite in Da Nang,"Julia Ta is part of the Marketing team, based in Bangalore, India, and recently joined team building offsite in da nang."
Diana Bui,Operations,"Manila, Philippines",Attended Agile Project Management Workshop,"Diana Bui is part of the Operations team, based in Manila, Philippines, and recently attended agile project management workshop."
Paul Tran,Customer Success,"Manila, Philippines",Finished Data Analytics with Python Course,"Paul Tran is part of the Customer Success team, based in Manila, Philippines, and recently finished data analytics with python course."
Olivia Le,Data Science,"Jakarta, Indonesia",Attended AI for Business Leaders Webinar,"Olivia Le is part of the Data Science team, based in Jakarta, Indonesia, and recently attended ai for business leaders webinar."
Diana Phan,Customer Success,"Ho Chi Minh City, Vietnam",Completed Leadership Training Bootcamp,"Diana Phan is part of the Customer Success team, based in Ho Chi Minh City, Vietnam, and recently completed leadership training bootcamp."
Victor Dang,Legal,"Bangkok, Thailand",Completed Emotional Intelligence Training,"Victor Dang is part of the Legal team, based in Bangkok, Thailand, and recently completed emotional intelligence training."
Victor Trinh,Data Science,"Da Nang, Vietnam",Attended UX/UI Design Masterclass,"Victor Trinh is part of the Data Science team, based in Da Nang, Vietnam, and recently attended ux/ui design masterclass."
Quinn Le,Product,"Da Nang, Vietnam",Presented at Machine Learning Meetup,"Quinn Le is part of the Product team, based in Da Nang, Vietnam, and recently presented at machine learning meetup."
Diana Nguyen,Engineering,"Berlin, Germany",Completed Advanced Cybersecurity Training,"Diana Nguyen is part of the Engineering team, based in Berlin, Germany, and recently completed advanced cybersecurity training."
Samuel Do,Data Science,"Paris, France",Finished Data Analytics with Python Course,"Samuel Do is part of the Data Science team, based in Paris, France, and recently finished data analytics with python course."
Samuel Truong,Marketing,"Ho Chi Minh City, Vietnam",Attended AI for Business Leaders Webinar,"Samuel Truong is part of the Marketing team, based in Ho Chi Minh City, Vietnam, and recently attended ai for business leaders webinar."
George Hoang,Data Science,"New Delhi, India",Presented at Internal Innovation Day,"George Hoang is part of the Data Science team, based in New Delhi, India, and recently presented at internal innovation day."
Victor Ly,Legal,"Sydney, Australia",Participated in Corporate Social Responsibility Event,"Victor Ly is part of the Legal team, based in Sydney, Australia, and recently participated in corporate social responsibility event."
Charlie Bui,Legal,"Paris, France",Completed Leadership Training Bootcamp,"Charlie Bui is part of the Legal team, based in Paris, France, and recently completed leadership training bootcamp."
Isaac Phan,Operations,"Mumbai, India",Volunteered at Community Tech Fair,"Isaac Phan is part of the Operations team, based in Mumbai, India, and recently volunteered at community tech fair."
Tina Pham,Operations,"Beijing, China",Participated in Corporate Social Responsibility Event,"Tina Pham is part of the Operations team, based in Beijing, China, and recently participated in corporate social responsibility event."
Paul Bui,Sales,Singapore,Attended AI for Business Leaders Webinar,"Paul Bui is part of the Sales team, based in Singapore, and recently attended ai for business leaders webinar."
Alice Ta,Engineering,"Shanghai, China",Presented at Internal Innovation Day,"Alice Ta is part of the Engineering team, based in Shanghai, China, and recently presented at internal innovation day."
Laura Trinh,Management,"London, UK",Completed Leadership Training Bootcamp,"Laura Trinh is part of the Management team, based in London, UK, and recently completed leadership training bootcamp."
Tina Trinh,Operations,"Manila, Philippines",Volunteered at Community Tech Fair,"Tina Trinh is part of the Operations team, based in Manila, Philippines, and recently volunteered at community tech fair."
Diana Pham,Legal,"Bangalore, India",Completed Leadership Training Bootcamp,"Diana Pham is part of the Legal team, based in Bangalore, India, and recently completed leadership training bootcamp."
Charlie Vu,Operations,"Jakarta, Indonesia",Volunteered at Community Tech Fair,"Charlie Vu is part of the Operations team, based in Jakarta, Indonesia, and recently volunteered at community tech fair."
Olivia Le,Engineering,"Beijing, China",Spoke at the Annual Finance Forum,"Olivia Le is part of the Engineering team, based in Beijing, China, and recently spoke at the annual finance forum."
Edward Bui,Management,"Manila, Philippines",Completed AWS Cloud Practitioner Certification,"Edward Bui is part of the Management team, based in Manila, Philippines, and recently completed aws cloud practitioner certification."
Alice Mai,Sales,"Da Nang, Vietnam",Joined Cross-Cultural Communication Workshop,"Alice Mai is part of the Sales team, based in Da Nang, Vietnam, and recently joined cross-cultural communication workshop."
Isaac Truong,Product,"Ho Chi Minh City, Vietnam",Joined International Business Roundtable,"Isaac Truong is part of the Product team, based in Ho Chi Minh City, Vietnam, and recently joined international business roundtable."
Laura Do,Engineering,"Melbourne, Australia",Attended UX/UI Design Masterclass,"Laura Do is part of the Engineering team, based in Melbourne, Australia, and recently attended ux/ui design masterclass."
Alice Phan,Finance,"Berlin, Germany",Attended AI for Business Leaders Webinar,"Alice Phan is part of the Finance team, based in Berlin, Germany, and recently attended ai for business leaders webinar."
Victor Hoang,Data Science,"Sydney, Australia",Joined Global Marketing Summit,"Victor Hoang is part of the Data Science team, based in Sydney, Australia, and recently joined global marketing summit."
Bob Hoang,Customer Success,"Mumbai, India",Completed Emotional Intelligence Training,"Bob Hoang is part of the Customer Success team, based in Mumbai, India, and recently completed emotional intelligence training."
Hannah Huynh,Customer Success,"Melbourne, Australia",Joined Cross-Cultural Communication Workshop,"Hannah Huynh is part of the Customer Success team, based in Melbourne, Australia, and recently joined cross-cultural communication workshop."
Charlie Tran,Operations,"Bangkok, Thailand",Volunteered at Community Tech Fair,"Charlie Tran is part of the Operations team, based in Bangkok, Thailand, and recently volunteered at community tech fair."
Laura Ly,Operations,"Seoul, South Korea",Joined Cross-Cultural Communication Workshop,"Laura Ly is part of the Operations team, based in Seoul, South Korea, and recently joined cross-cultural communication workshop."
Julia Ngo,Data Science,"Bangalore, India",Completed Leadership Training Bootcamp,"Julia Ngo is part of the Data Science team, based in Bangalore, India, and recently completed leadership training bootcamp."
Hannah Tran,Legal,"New Delhi, India",Completed Leadership Training Bootcamp,"Hannah Tran is part of the Legal team, based in New Delhi, India, and recently completed leadership training bootcamp."
Bob Ly,Sales,"Beijing, China",Joined International Business Roundtable,"Bob Ly is part of the Sales team, based in Beijing, China, and recently joined international business roundtable."
Diana Do,Operations,"Hanoi, Vietnam",Completed AWS Cloud Practitioner Certification,"Diana Do is part of the Operations team, based in Hanoi, Vietnam, and recently completed aws cloud practitioner certification."
Diana Luong,Engineering,"Shanghai, China",Finished Data Analytics with Python Course,"Diana Luong is part of the Engineering team, based in Shanghai, China, and recently finished data analytics with python course."
Hannah Do,Finance,"Seoul, South Korea",Joined Team Building Offsite in Da Nang,"Hannah Do is part of the Finance team, based in Seoul, South Korea, and recently joined team building offsite in da nang."
Olivia Dang,Marketing,"Shanghai, China",Attended AI for Business Leaders Webinar,"Olivia Dang is part of the Marketing team, based in Shanghai, China, and recently attended ai for business leaders webinar."
Nathan Vu,Marketing,"Ho Chi Minh City, Vietnam",Attended AI for Business Leaders Webinar,"Nathan Vu is part of the Marketing team, based in Ho Chi Minh City, Vietnam, and recently attended ai for business leaders webinar."
Julia Phan,Legal,"Kuala Lumpur, Malaysia",Attended Agile Project Management Workshop,"Julia Phan is part of the Legal team, based in Kuala Lumpur, Malaysia, and recently attended agile project management workshop."
Bob Tran,Human Resources,"London, UK",Presented at Internal Innovation Day,"Bob Tran is part of the Human Resources team, based in London, UK, and recently presented at internal innovation day."
Paul Ton,Sales,"Berlin, Germany",Presented at Internal Innovation Day,"Paul Ton is part of the Sales team, based in Berlin, Germany, and recently presented at internal innovation day."
Paul Mai,Human Resources,"Sydney, Australia",Presented at Machine Learning Meetup,"Paul Mai is part of the Human Resources team, based in Sydney, Australia, and recently presented at machine learning meetup."
Alice Hoang,Legal,"Seoul, South Korea",Volunteered at Community Tech Fair,"Alice Hoang is part of the Legal team, based in Seoul, South Korea, and recently volunteered at community tech fair."
Bob Nguyen,Human Resources,"Ho Chi Minh City, Vietnam",Completed Advanced Cybersecurity Training,"Bob Nguyen is part of the Human Resources team, based in Ho Chi Minh City, Vietnam, and recently completed advanced cybersecurity training."
Nathan Bui,Operations,"Bangalore, India",Volunteered at Community Tech Fair,"Nathan Bui is part of the Operations team, based in Bangalore, India, and recently volunteered at community tech fair."
Charlie Dang,Operations,"Mumbai, India",Attended AI for Business Leaders Webinar,"Charlie Dang is part of the Operations team, based in Mumbai, India, and recently attended ai for business leaders webinar."
Nathan Huynh,Management,"Bangkok, Thailand",Joined Global Marketing Summit,"Nathan Huynh is part of the Management team, based in Bangkok, Thailand, and recently joined global marketing summit."
Nathan Ton,Legal,"Berlin, Germany",Participated in Corporate Social Responsibility Event,"Nathan Ton is part of the Legal team, based in Berlin, Germany, and recently participated in corporate social responsibility event."
Bob Chau,Customer Success,"Ho Chi Minh City, Vietnam",Attended AI for Business Leaders Webinar,"Bob Chau is part of the Customer Success team, based in Ho Chi Minh City, Vietnam, and recently attended ai for business leaders webinar."
Edward Phan,Legal,"Berlin, Germany",Completed Advanced Cybersecurity Training,"Edward Phan is part of the Legal team, based in Berlin, Germany, and recently completed advanced cybersecurity training."
Alice Ngo,Engineering,"Jakarta, Indonesia",Joined Team Building Offsite in Da Nang,"Alice Ngo is part of the Engineering team, based in Jakarta, Indonesia, and recently joined team building offsite in da nang."
Diana Dang,Customer Success,"Hanoi, Vietnam",Joined International Business Roundtable,"Diana Dang is part of the Customer Success team, based in Hanoi, Vietnam, and recently joined international business roundtable."
Edward Bui,Customer Success,"Hanoi, Vietnam",Attended Agile Project Management Workshop,"Edward Bui is part of the Customer Success team, based in Hanoi, Vietnam, and recently attended agile project management workshop."
Tina Mai,Legal,"London, UK",Attended Remote Work Productivity Webinar,"Tina Mai is part of the Legal team, based in London, UK, and recently attended remote work productivity webinar."
Julia Truong,Human Resources,"Tokyo, Japan",Attended UX/UI Design Masterclass,"Julia Truong is part of the Human Resources team, based in Tokyo, Japan, and recently attended ux/ui design masterclass."
Alice Trinh,Marketing,"Melbourne, Australia",Attended Agile Project Management Workshop,"Alice Trinh is part of the Marketing team, based in Melbourne, Australia, and recently attended agile project management workshop."
Julia Vu,Engineering,"Bangkok, Thailand",Spoke at the Annual Finance Forum,"Julia Vu is part of the Engineering team, based in Bangkok, Thailand, and recently spoke at the annual finance forum."
Hannah Chau,Engineering,"Tokyo, Japan",Joined Global Marketing Summit,"Hannah Chau is part of the Engineering team, based in Tokyo, Japan, and recently joined global marketing summit."
Kevin Ly,Finance,"Sydney, Australia",Attended AI for Business Leaders Webinar,"Kevin Ly is part of the Finance team, based in Sydney, Australia, and recently attended ai for business leaders webinar."
Laura Ngo,Customer Success,"Paris, France",Finished Data Analytics with Python Course,"Laura Ngo is part of the Customer Success team, based in Paris, France, and recently finished data analytics with python course."
Quinn Le,Finance,"Hanoi, Vietnam",Attended Remote Work Productivity Webinar,"Quinn Le is part of the Finance team, based in Hanoi, Vietnam, and recently attended remote work productivity webinar."
Charlie Trinh,Finance,Singapore,Presented at Internal Innovation Day,"Charlie Trinh is part of the Finance team, based in Singapore, and recently presented at internal innovation day."
Paul Luong,Human Resources,"Shanghai, China",Joined Global Marketing Summit,"Paul Luong is part of the Human Resources team, based in Shanghai, China, and recently joined global marketing summit."
Samuel Le,Marketing,"Hanoi, Vietnam",Participated in Corporate Social Responsibility Event,"Samuel Le is part of the Marketing team, based in Hanoi, Vietnam, and recently participated in corporate social responsibility event."
Nathan Vu,Data Science,"Ho Chi Minh City, Vietnam",Volunteered at Community Tech Fair,"Nathan Vu is part of the Data Science team, based in Ho Chi Minh City, Vietnam, and recently volunteered at community tech fair."
George Chau,Legal,"Melbourne, Australia",Attended UX/UI Design Masterclass,"George Chau is part of the Legal team, based in Melbourne, Australia, and recently attended ux/ui design masterclass."
Victor Bui,Engineering,"Seoul, South Korea",Spoke at the Annual Finance Forum,"Victor Bui is part of the Engineering team, based in Seoul, South Korea, and recently spoke at the annual finance forum."
Quinn Pham,Marketing,"Melbourne, Australia",Attended Agile Project Management Workshop,"Quinn Pham is part of the Marketing team, based in Melbourne, Australia, and recently attended agile project management workshop."
Tina Huynh,Human Resources,"Sydney, Australia",Joined Cross-Cultural Communication Workshop,"Tina Huynh is part of the Human Resources team, based in Sydney, Australia, and recently joined cross-cultural communication workshop."
Julia Chau,Marketing,"Beijing, China",Finished Data Analytics with Python Course,"Julia Chau is part of the Marketing team, based in Beijing, China, and recently finished data analytics with python course."
George Truong,Sales,"Jakarta, Indonesia",Completed AWS Cloud Practitioner Certification,"George Truong is part of the Sales team, based in Jakarta, Indonesia, and recently completed aws cloud practitioner certification."
